Loyalty,total_flights,total_flights_with_companions,total_distance,total_points_accumulated,total_points_redeemed,total_cost_redeemed,points_redemption_ratio,companion_flight_ratio
103359,236,32,379857.6,37976.46,8789.4,87.4,0.23144337307900736,0.13559322033898305
103362,9,1,11840.0,1184.0,0.0,0.0,0.0,0.1111111111111111
103383,0,0,0.0,0.0,0.0,0.0,0.0,0.0
103436,232,40,468744.1,46864.41,11579.0,115.1,0.2470744857344838,0.1724137931034483
103490,202,47,341731.3,34165.229999999996,0.0,0.0,0.0,0.23267326732673269
103502,89,40,268996.6,26895.06,4943.8,49.4,0.1838181435549874,0.449438202247191
103536,278,53,512434.0,51234.3,4400.0,44.0,0.0858799671313944,0.1906474820143885
103699,78,12,136268.0,13624.0,0.0,0.0,0.0,0.15384615384615385
103731,159,42,275519.1,27544.41,3940.0,39.0,0.14304172788598485,0.2641509433962264
103758,59,11,64577.0,6456.0,0.0,0.0,0.0,0.1864406779661017
103823,210,54,372026.0,37195.3,11555.9,114.3,0.3106817259169841,0.2571428571428571
103860,210,65,445019.2,44496.12,18182.8,180.3,0.40863787674071356,0.30952380952380953
103862,170,54,382445.0,38237.6,25910.4,256.6,0.6776157499424651,0.3176470588235294
103916,177,64,410247.0,41015.8,13461.5,133.0,0.3282027901442858,0.3615819209039548
103969,171,78,402309.3,40223.13,13885.0,137.3,0.3451993914943964,0.45614035087719296
103970,205,67,483839.1,48374.71,0.0,0.0,0.0,0.32682926829268294
103975,50,11,54588.0,5457.0,9014.0,90.0,1.6518233461608942,0.22
103985,18,6,41615.0,4160.0,0.0,0.0,0.0,0.3333333333333333
104103,173,63,416824.5,41674.65,11895.9,117.8,0.2854469083723558,0.36416184971098264
104267,43,27,123974.0,12394.0,0.0,0.0,0.0,0.627906976744186
104353,222,68,468621.6,46852.76,8133.9,79.8,0.1736055677402996,0.3063063063063063
104431,214,69,412299.2,41222.22,23053.9,228.1,0.5592590597983321,0.32242990654205606
104541,158,29,497036.2,49695.72,16664.5,163.2,0.3353306884375556,0.18354430379746836
104586,209,27,342113.1,34205.01,3789.0,37.0,0.11077324637531168,0.1291866028708134
104673,218,44,475155.5,47508.45,8479.7,83.6,0.178488247880114,0.2018348623853211
104732,179,52,274162.3,27412.13,3149.0,31.0,0.11487615154313072,0.2905027932960894
104739,0,0,0.0,0.0,0.0,0.0,0.0,0.0
104849,178,30,462492.2,46239.42,5270.6,51.3,0.11398499375640958,0.16853932584269662
104960,138,38,183184.1,18315.01,4856.0,48.0,0.2651377203725251,0.2753623188405797
105063,36,6,107325.0,10730.0,0.0,0.0,0.0,0.16666666666666666
105073,62,12,155079.0,15504.0,0.0,0.0,0.0,0.1935483870967742
105074,221,54,471111.7,47103.17,14423.4,143.5,0.3062086904129807,0.24434389140271492
105145,0,0,0.0,0.0,0.0,0.0,0.0,0.0
105193,11,5,5767.0,576.0,0.0,0.0,0.0,0.45454545454545453
105214,193,54,529596.2,52950.72,22544.0,221.5,0.4257543617914922,0.27979274611398963
105251,64,13,141529.1,14151.01,0.0,0.0,0.0,0.203125
105335,173,61,355397.6,35531.76,21566.3,214.0,0.6069583944054558,0.35260115606936415
105352,0,0,0.0,0.0,0.0,0.0,0.0,0.0
105552,156,39,456040.4,45596.84,6420.0,64.0,0.14079923082389043,0.25
105688,227,56,302257.3,30217.03,12901.5,127.7,0.4269612202125755,0.24669603524229075
105700,0,0,0.0,0.0,0.0,0.0,0.0,0.0
105712,173,60,322255.9,32220.489999999998,9628.0,95.0,0.2988160639394373,0.3468208092485549
105789,211,50,507549.0,50746.4,10944.0,108.3,0.21566061829016442,0.23696682464454977
105835,49,15,93089.0,9306.0,0.0,0.0,0.0,0.30612244897959184
105841,285,42,440064.8,43997.48,4245.0,42.0,0.09648279856028118,0.14736842105263157
105921,256,66,428955.3,42887.93,27424.6,271.7,0.6394479752228657,0.2578125
105932,144,29,319974.6,31991.36,6474.0,64.0,0.20236713912756443,0.2013888888888889
105992,228,37,516298.5,51621.15,16275.6,160.9,0.3152893726699231,0.16228070175438597
106037,274,65,563535.8,56344.18,0.0,0.0,0.0,0.23722627737226276
106038,153,35,299846.5,29975.35,21945.0,216.6,0.7321015434348557,0.22875816993464052
106046,232,52,535013.0,53489.6,12200.3,119.6,0.2280873291256618,0.22413793103448276
106048,11,0,5961.0,596.0,0.0,0.0,0.0,0.0
106218,193,65,447244.4,44714.74,15829.9,156.0,0.35401972593377484,0.33678756476683935
106397,122,43,300657.5,30059.75,3579.0,35.0,0.11906286645763854,0.3524590163934426
106444,47,10,121106.0,12108.0,12947.0,128.0,1.0692930294020482,0.2127659574468085
106477,115,33,399827.2,39976.72,0.0,0.0,0.0,0.28695652173913044
106589,0,0,0.0,0.0,0.0,0.0,0.0,0.0
106592,254,49,356975.9,35691.89,8105.0,80.0,0.22708239883065873,0.19291338582677164
106616,24,0,45052.0,4504.0,0.0,0.0,0.0,0.0
106623,16,3,26346.0,2634.0,0.0,0.0,0.0,0.1875
106637,161,53,424822.7,42475.87,23377.0,230.4,0.5503595335422206,0.32919254658385094
106689,105,50,316332.9,31628.09,15638.1,153.5,0.4944370652796296,0.47619047619047616
106754,151,42,357534.8,35746.08,18264.7,180.5,0.5109567258843487,0.2781456953642384
106757,175,22,414058.0,41400.4,0.0,0.0,0.0,0.12571428571428572
106776,204,39,260351.6,26029.56,11905.5,117.9,0.45738383591578186,0.19117647058823528
106838,208,63,311727.3,31165.53,0.0,0.0,0.0,0.30288461538461536
106839,197,47,562593.9,56252.59,10499.4,104.5,0.18664740592388723,0.23857868020304568
106936,213,44,378190.7,37810.17,10942.7,108.3,0.28941155250029293,0.20657276995305165
106946,259,47,602701.4,60258.54,32141.1,318.3,0.5333866369812478,0.18146718146718147
106964,16,4,58045.0,5803.0,4149.0,41.0,0.7149750129243495,0.25
106978,210,49,476470.3,47636.93,5684.8,55.1,0.11933598575726857,0.23333333333333334
106979,210,79,297830.7,29777.27,23546.7,231.8,0.7907608723029345,0.3761904761904762
107037,152,41,229647.4,22960.239999999998,5595.0,55.0,0.24368212178966772,0.26973684210526316
107067,171,24,478968.1,47887.51,23563.8,233.7,0.492065676415416,0.14035087719298245
107119,229,84,428259.6,42817.36,10102.4,100.7,0.23594168346670602,0.36681222707423583
107141,153,39,377025.0,37693.8,18787.0,185.6,0.49841087924274013,0.2549019607843137
107203,240,74,508930.4,50885.54,9084.0,90.0,0.17851829812555786,0.30833333333333335
107212,184,46,382313.7,38225.07,24559.4,242.1,0.6424945722793968,0.25
107296,93,33,196725.2,19667.82,9851.5,96.9,0.500894354331085,0.3548387096774194
107385,84,35,181011.8,18097.18,11122.0,110.0,0.6145708889451285,0.4166666666666667
107420,65,12,172120.5,17207.95,5690.0,56.0,0.33066111884332533,0.18461538461538463
107461,95,44,398093.2,39805.12,8570.9,85.5,0.21532154657491295,0.4631578947368421
107466,146,26,390036.6,38996.659999999996,3958.0,39.0,0.10149587169773001,0.1780821917808219
107487,74,28,169953.5,16990.05,2923.0,29.0,0.1720418715660048,0.3783783783783784
107519,76,17,167996.0,16796.0,4043.0,40.0,0.24071207430340558,0.2236842105263158
107571,158,64,340927.0,34085.4,14335.7,141.3,0.4205818326908295,0.4050632911392405
107649,245,50,475278.0,47519.3,16887.5,167.3,0.35538191850469175,0.20408163265306123
107719,136,24,458510.1,45843.81,12791.0,126.0,0.2790125864320614,0.17647058823529413
107730,135,37,234151.7,23408.77,9288.0,92.0,0.39677437131468246,0.2740740740740741
107835,19,8,41322.0,4132.0,3341.0,33.0,0.808567279767667,0.42105263157894735
107902,160,38,296798.3,29673.03,8168.1,79.8,0.2752701695782332,0.2375
107993,142,59,344034.0,34395.8,0.0,0.0,0.0,0.4154929577464789
108264,327,66,548343.3,54824.13,29763.6,294.3,0.5428923359112128,0.2018348623853211
108346,38,8,76126.0,7610.0,0.0,0.0,0.0,0.21052631578947367
108367,83,11,239626.6,23958.46,0.0,0.0,0.0,0.13253012048192772
108381,185,50,528923.7,52884.17,20590.3,202.9,0.38934713355622297,0.2702702702702703
108430,220,34,436282.2,43618.22,4903.9,47.5,0.11242778820410369,0.15454545454545454
108440,176,58,313588.8,31353.78,6821.0,67.0,0.21754952672373157,0.32954545454545453
108462,166,60,482305.5,48221.05,21234.9,209.5,0.44036577386846615,0.3614457831325301
108481,0,0,0.0,0.0,0.0,0.0,0.0,0.0
108528,233,56,446781.6,44672.56,4909.0,49.0,0.10988848635493467,0.24034334763948498
108625,227,87,475477.5,47537.85,14155.0,138.7,0.29776273011926285,0.3832599118942731
108666,107,57,249914.9,24983.69,18621.2,183.4,0.7453342560686592,0.5327102803738317
108857,44,10,80398.9,8036.99,10549.9,103.2,1.3126680510987323,0.22727272727272727
108896,56,24,206520.5,20648.55,0.0,0.0,0.0,0.42857142857142855
108907,193,42,451313.1,45123.01,18347.2,181.2,0.4066040807118142,0.21761658031088082
109022,140,32,284481.8,28443.88,3605.0,36.0,0.12674079626267584,0.22857142857142856
109023,165,41,219114.3,21905.53,25591.1,252.7,1.168248382942572,0.24848484848484848
109029,8,0,9745.0,974.0,0.0,0.0,0.0,0.0
109203,197,29,248541.6,24847.96,3390.0,33.0,0.13642971092999184,0.14720812182741116
109399,153,55,352599.2,35254.82,0.0,0.0,0.0,0.35947712418300654
109478,211,42,338688.2,33860.12,8973.7,89.3,0.26502268745651225,0.1990521327014218
109495,209,69,411306.6,41124.46,3616.0,36.0,0.0879282062305499,0.33014354066985646
109517,179,76,368080.2,36801.520000000004,12756.2,126.7,0.3466215525880453,0.4245810055865922
109552,107,11,351759.8,35168.479999999996,0.0,0.0,0.0,0.102803738317757
109612,79,21,111148.3,11110.13,5577.0,55.0,0.5019743243328386,0.26582278481012656
109660,189,27,512045.6,51196.36,16483.5,163.0,0.3219662491630264,0.14285714285714285
109767,210,60,514489.0,51440.4,22943.8,227.6,0.446026858267043,0.2857142857142857
109840,141,30,335385.9,33532.99,8179.5,81.7,0.24392396860524518,0.2127659574468085
109896,192,32,322040.0,32198.1,6058.0,60.0,0.18814774784847554,0.16666666666666666
109903,184,53,459148.2,45906.82,17369.8,171.0,0.37837079545043634,0.28804347826086957
109956,92,4,293030.0,29298.1,0.0,0.0,0.0,0.043478260869565216
110001,167,44,352653.1,35258.21,15946.7,155.8,0.4522833121704137,0.2634730538922156
110030,75,3,182027.6,18200.36,0.0,0.0,0.0,0.04
110065,96,18,95291.0,9524.0,0.0,0.0,0.0,0.1875
110073,0,0,0.0,0.0,0.0,0.0,0.0,0.0
110099,190,32,464614.3,46455.13,19479.8,191.8,0.419325056242443,0.16842105263157894
110142,76,30,108442.0,10840.0,2513.0,25.0,0.23182656826568265,0.39473684210526316
110170,27,16,124868.0,12485.0,4249.0,42.0,0.34032839407288745,0.5925925925925926
110211,165,16,291724.1,29168.51,0.0,0.0,0.0,0.09696969696969697
110262,141,8,206521.3,20646.829999999998,6307.0,62.0,0.3054706218823907,0.05673758865248227
110296,165,59,300428.6,30035.36,3929.0,39.0,0.13081248235413193,0.3575757575757576
110394,213,57,433866.3,43377.73,9117.0,90.0,0.21017697329943266,0.2676056338028169
110422,48,17,84531.0,8450.0,0.0,0.0,0.0,0.3541666666666667
110476,228,38,447914.0,44784.5,24778.5,243.1,0.5532829438756712,0.16666666666666666
110603,0,0,0.0,0.0,0.0,0.0,0.0,0.0
110678,174,62,374817.5,37475.15,6320.0,63.0,0.1686450888121862,0.3563218390804598
110691,148,49,305199.0,30513.4,7729.2,76.0,0.2533051052980002,0.3310810810810811
110752,189,37,498055.2,49795.82,3205.0,32.0,0.06436283206100432,0.19576719576719576
111022,138,15,301522.7,30145.47,17005.0,167.2,0.5640980220245363,0.10869565217391304
111034,216,51,386721.2,38662.82,16266.4,160.5,0.4207246134658569,0.2361111111111111
111171,210,36,300741.4,30066.739999999998,6581.0,65.0,0.21887973222238263,0.17142857142857143
111176,195,31,453849.4,45377.64,19841.7,195.7,0.4372572042089452,0.15897435897435896
111255,213,46,527935.3,52784.63,0.0,0.0,0.0,0.215962441314554
111286,162,36,452285.7,45220.57,2492.0,24.0,0.055107664498700484,0.2222222222222222
111329,168,61,313834.1,31374.71,26268.1,259.4,0.8372380174988071,0.3630952380952381
111387,0,0,0.0,0.0,0.0,0.0,0.0,0.0
111485,232,70,547019.3,54693.33,30089.4,297.6,0.5501475225589665,0.3017241379310345
111507,156,46,361616.6,36155.36,23930.0,236.9,0.661865903146864,0.2948717948717949
111573,201,21,387360.1,38730.81,5006.0,50.0,0.12925110525702924,0.1044776119402985
111584,121,30,217625.6,21756.46,15113.4,149.9,0.6946626427277232,0.24793388429752067
111646,149,56,184758.9,18471.89,13411.7,133.1,0.7260599754545962,0.37583892617449666
111788,312,25,549631.4,54957.44,16915.5,166.3,0.30779272105833166,0.08012820512820513
111899,96,17,170912.6,17087.86,15314.0,150.1,0.8961917993241986,0.17708333333333334
111912,206,35,488283.7,48821.97,9900.9,98.8,0.2027959953275134,0.16990291262135923
112026,255,64,377043.0,37694.2,15150.6,148.2,0.40193451512434275,0.25098039215686274
112226,173,58,329968.1,32988.31,11304.0,112.0,0.34266684167815814,0.3352601156069364
112393,207,36,452452.7,45240.47,33546.4,330.6,0.7415130744662909,0.17391304347826086
112522,194,63,366131.1,36606.01,8728.6,85.5,0.23844718394602415,0.3247422680412371
112632,218,46,292492.2,29241.92,10744.5,106.4,0.36743483328044124,0.21100917431192662
112661,63,26,122684.9,12267.39,9359.4,93.1,0.7629495760711936,0.4126984126984127
112678,120,28,327361.8,32729.68,17155.1,169.7,0.5241450573302274,0.23333333333333334
112709,169,34,347443.7,34737.37,0.0,0.0,0.0,0.20118343195266272
112732,183,38,501301.9,50122.79,9497.0,94.0,0.18947468806105966,0.20765027322404372
112733,222,45,447556.1,44744.11,0.0,0.0,0.0,0.20270270270270271
112797,0,0,0.0,0.0,0.0,0.0,0.0,0.0
112842,143,42,310432.4,31038.74,10125.0,100.0,0.3262052518884465,0.2937062937062937
112856,193,41,446597.4,44651.14,27906.5,276.1,0.6249896419217964,0.21243523316062177
112863,205,28,364803.8,36473.78,20907.8,206.8,0.5732282203818743,0.13658536585365855
112894,0,0,0.0,0.0,0.0,0.0,0.0,0.0
113040,175,31,382159.8,38209.68,0.0,0.0,0.0,0.17714285714285713
113184,45,1,75049.0,7503.0,0.0,0.0,0.0,0.022222222222222223
113220,148,27,313615.6,31355.06,18003.5,177.9,0.5741816472365225,0.18243243243243243
113293,29,10,37347.0,3732.0,0.0,0.0,0.0,0.3448275862068966
113316,53,26,129609.0,12959.0,4611.0,46.0,0.3558144918589397,0.49056603773584906
113363,77,10,205953.0,20588.7,0.0,0.0,0.0,0.12987012987012986
113442,19,4,37253.0,3725.0,0.0,0.0,0.0,0.21052631578947367
113476,217,70,470485.3,47039.33,8973.7,89.3,0.1907701491496584,0.3225806451612903
113529,20,8,61218.0,6120.0,0.0,0.0,0.0,0.4
113558,152,46,480539.5,48043.65,13604.0,134.0,0.2831591687975414,0.3026315789473684
113578,20,3,102172.5,10215.75,0.0,0.0,0.0,0.15
113656,0,0,0.0,0.0,0.0,0.0,0.0,0.0
113679,255,63,462823.9,46275.69,4900.1,47.5,0.10588929089982235,0.24705882352941178
113694,221,65,394884.2,39478.42,32167.8,318.6,0.8148198433473275,0.29411764705882354
113755,81,37,325377.8,32533.48,3674.0,36.0,0.1129298187590138,0.4567901234567901
113779,201,44,434732.4,43468.04,8044.6,79.8,0.1850693060924762,0.21890547263681592
113804,128,29,301033.5,30096.35,14844.5,147.0,0.49323256806888544,0.2265625
113831,281,66,487510.4,48742.64,7140.2,70.3,0.14648775692083973,0.23487544483985764
113839,160,53,302611.7,30255.27,7317.0,73.0,0.241842165017863,0.33125
113861,115,61,220213.0,22017.4,6128.0,61.0,0.27832532451606457,0.5304347826086957
113864,65,18,193241.0,19321.5,8042.7,79.8,0.4162565018243925,0.27692307692307694
113874,57,5,132848.0,13282.0,0.0,0.0,0.0,0.08771929824561403
113877,240,71,542008.5,54192.85,6674.0,66.0,0.12315277753430573,0.29583333333333334
113904,189,48,391115.7,39105.57,11734.6,115.6,0.300074899816062,0.25396825396825395
113919,173,35,340977.2,34091.82,9810.0,97.0,0.2877523112582432,0.2023121387283237
114018,155,40,435921.4,43583.84,3850.0,38.0,0.08833549315526122,0.25806451612903225
114021,227,13,440637.7,44052.97,10668.5,106.4,0.24217436418021304,0.05726872246696035
114131,54,12,107750.0,10772.0,3486.0,34.0,0.3236167842554772,0.2222222222222222
114214,70,30,134798.7,13478.57,0.0,0.0,0.0,0.42857142857142855
114219,145,37,474893.3,47479.13,11218.7,110.7,0.2362869749298271,0.25517241379310346
114242,187,53,303758.5,30368.35,14531.2,144.4,0.4784981732626238,0.28342245989304815
114307,176,55,440953.5,44089.25,10681.8,104.5,0.2422767454651644,0.3125
114399,14,0,15333.0,1533.0,0.0,0.0,0.0,0.0
114493,160,22,304364.4,30431.64,10767.3,106.4,0.35381924865041775,0.1375
114553,223,39,536121.4,53604.04,10274.9,101.4,0.1916814478908679,0.17488789237668162
114638,248,59,358390.5,35830.65,3988.0,39.0,0.11130135791563926,0.23790322580645162
114700,55,1,140041.0,13999.0,0.0,0.0,0.0,0.01818181818181818
114743,74,16,215061.1,21500.71,4284.0,42.0,0.19924923409506012,0.21621621621621623
114835,127,29,350346.8,35028.88,0.0,0.0,0.0,0.2283464566929134
114857,179,10,470629.8,47056.08,4346.0,43.0,0.09235788446466428,0.055865921787709494
114903,159,55,440253.3,44017.13,3641.0,36.0,0.08271779645787902,0.34591194968553457
114924,56,18,122578.9,12256.49,0.0,0.0,0.0,0.32142857142857145
114927,161,31,279330.6,27926.46,19400.9,191.9,0.6947139021558766,0.19254658385093168
114983,135,29,244462.9,24441.989999999998,0.0,0.0,0.0,0.21481481481481482
115198,0,0,0.0,0.0,0.0,0.0,0.0,0.0
115322,235,51,563973.4,56388.04,11024.0,109.0,0.1955024505196492,0.2170212765957447
115354,250,53,490140.0,49006.7,19042.7,187.9,0.3885733991474635,0.212
115405,186,40,383531.0,38347.5,21139.2,208.5,0.5512536671230198,0.21505376344086022
115427,240,29,568191.4,56811.34,10275.3,100.3,0.1808670592878112,0.12083333333333333
115505,30,9,76432.0,7641.0,0.0,0.0,0.0,0.3
115529,184,40,402367.2,40228.12,3128.0,31.0,0.07775655437042546,0.21739130434782608
115633,218,44,424487.4,42440.64,2829.0,28.0,0.06665780723382117,0.2018348623853211
115705,204,36,515408.6,51530.96,15044.2,150.1,0.29194488129078133,0.17647058823529413
115749,31,3,104512.0,10449.0,0.0,0.0,0.0,0.0967741935483871
115805,226,52,386107.4,38603.04,16664.1,164.7,0.43167843776034215,0.23008849557522124
115852,159,37,339661.3,33955.63,0.0,0.0,0.0,0.23270440251572327
116016,187,38,386186.8,38612.78,9142.0,91.0,0.2367609894962238,0.20320855614973263
116045,239,37,503009.9,50291.59,5445.4,53.2,0.10827655279938454,0.15481171548117154
116164,35,12,163332.0,16331.0,12258.0,121.0,0.7505970240646623,0.34285714285714286
116207,96,0,176101.5,17607.65,0.0,0.0,0.0,0.0
116238,48,14,67729.0,6771.0,6798.0,67.0,1.0039875941515286,0.2916666666666667
116288,145,32,200665.7,20059.87,8539.0,84.0,0.42567573967328803,0.2206896551724138
116332,248,72,390880.9,39082.090000000004,13509.0,133.0,0.34565705160599136,0.2903225806451613
116372,187,49,418044.2,41797.82,5533.0,55.0,0.13237532483751546,0.2620320855614973
116562,35,2,80284.0,8027.0,4323.0,43.0,0.5385573688800299,0.05714285714285714
116703,131,50,285157.6,28509.36,15803.3,155.3,0.5543197041252417,0.3816793893129771
116732,74,27,189319.0,18928.0,5600.0,56.0,0.2958579881656805,0.36486486486486486
116735,208,73,382850.6,38276.36,17649.9,175.2,0.4611175148316089,0.35096153846153844
116895,41,5,75761.0,7574.0,4010.0,40.0,0.5294428307367309,0.12195121951219512
116897,35,9,26658.0,2664.0,10266.0,102.0,3.8536036036036037,0.2571428571428571
116932,175,44,292089.4,29202.14,19855.2,194.1,0.6799227727830905,0.25142857142857145
116948,57,18,145789.0,14575.4,11836.0,117.0,0.8120531855043429,0.3157894736842105
116999,168,25,366380.7,36629.87,0.0,0.0,0.0,0.1488095238095238
117033,171,48,382373.8,38230.38,7649.0,75.0,0.20007648367607125,0.2807017543859649
117053,185,68,447496.4,44745.24,15678.8,153.9,0.3504015175692431,0.3675675675675676
117169,179,53,365432.7,36535.37,3769.0,37.0,0.10316030739527203,0.29608938547486036
117219,213,63,566997.3,56691.83,21898.3,217.9,0.38626906205003436,0.29577464788732394
117240,69,13,157396.0,15737.0,0.0,0.0,0.0,0.18840579710144928
117333,295,81,409759.5,40966.95,17730.3,176.9,0.4327952166319436,0.2745762711864407
117342,202,58,363927.1,36386.81,11679.6,115.3,0.3209844446380433,0.2871287128712871
117351,0,0,0.0,0.0,0.0,0.0,0.0,0.0
117358,9,0,7143.0,714.0,0.0,0.0,0.0,0.0
117408,204,40,409597.2,40952.02,0.0,0.0,0.0,0.19607843137254902
117456,251,41,423966.5,42386.85,11327.0,110.9,0.26722910525316224,0.16334661354581673
117460,171,44,291302.3,29125.13,15403.2,152.5,0.5288628754618434,0.2573099415204678
117482,243,30,410153.5,41005.45,4138.0,41.0,0.10091341516798377,0.12345679012345678
117618,165,28,284127.8,28405.38,18696.0,184.3,0.6581851747802705,0.1696969696969697
117725,0,0,0.0,0.0,0.0,0.0,0.0,0.0
117782,232,44,491815.3,49171.63,20024.1,199.5,0.4072287211141872,0.1896551724137931
117832,0,0,0.0,0.0,0.0,0.0,0.0,0.0
117910,162,44,359146.8,35910.08,0.0,0.0,0.0,0.2716049382716049
117915,78,12,181833.0,18180.0,0.0,0.0,0.0,0.15384615384615385
117932,113,38,239843.1,23977.41,8928.1,87.4,0.37235464547672165,0.336283185840708
117939,50,5,34827.0,3480.7,0.0,0.0,0.0,0.1
117975,9,0,31266.4,3126.04,0.0,0.0,0.0,0.0
118076,195,74,519227.5,51914.55,17854.4,175.8,0.34391899766057876,0.37948717948717947
118298,0,0,0.0,0.0,0.0,0.0,0.0,0.0
118320,205,55,471081.7,47098.770000000004,18519.5,183.3,0.39320559751348066,0.2682926829268293
118332,193,33,537762.3,53769.93,6632.0,66.0,0.12334031307089297,0.17098445595854922
118355,100,34,236580.1,23652.71,4176.0,41.0,0.17655482183648302,0.34
